Yaw,Pitch,Roll,IMU_Yaw,IMU_Pitch,IMU_Roll
-4.071351556886968,0.8744212779043465,3.622236099261861,-3.691131964104487,0.8703692833270734,3.676113991448473
-4.089756293089403,0.8771668237040704,3.6198494422464984,-3.6828157415331457,0.871766029931381,3.6758620141621305
-4.094260045592142,0.8768676148495513,3.6205809679224052,-3.685277106708645,0.8722476713523104,3.676665890626025
-4.093795886515558,0.8747042523072673,3.6186832412338044,-3.6803736995918617,0.8711487192408465,3.6730801765998717
-4.09786707465058,0.8772242842172406,3.6182765143263325,-3.6801289839264255,0.8688753215637739,3.6669454162253734
-4.099009628055927,0.8783975767119339,3.618621381061344,-3.6785310576546824,0.8691686794902438,3.6625402191355105
-4.093156357280452,0.875792348044853,3.619278082122661,-3.6774037803050357,0.8666293639566996,3.658982510997265
-4.096023681082849,0.8757046865831779,3.6162412478902417,-3.6792613692602454,0.8650864947568894,3.65870811572834
-4.102773698449536,0.8766017130942562,3.615381834822823,-3.6837743972895436,0.8643224285347327,3.658579604543833
-4.10015824115702,0.8795633094940495,3.6123247299122796,-3.6827675724338786,0.8627346424877259,3.6573649483756063
-3.170131466100646,0.7981931362929572,3.624384054048387,-3.6825277962341736,0.8620303508631532,3.6564151774969047
-3.3647611298463977,0.7669795592588032,3.5815447840577774,-3.6784227460913295,0.8618514731616429,3.6626604849464273
-3.27418588605931,0.8083203340738216,3.503982936610147,-3.6783794236031637,0.8579584213788549,3.6616593997136406
-3.735085503929245,0.8240495868367704,3.5176126585765037,-3.689264278449988,0.8438020364172434,3.6702059360430974
-3.042323961501586,0.7466493012543389,3.593176936711963,-3.6945857889276557,0.844087409580307,3.6717131394326707
-2.660472831650926,0.7634647317311053,3.673485469503593,-3.699375165317672,0.8469171869038666,3.6711539342625605
-2.780689819116927,0.9000785685573904,3.429674552741606,-3.6997953299633837,0.8451012920740928,3.672496193417653
-0.9862796219543439,0.814850026617482,3.4073336008809747,-3.7050056160240463,0.8447158593872653,3.670854716461195
-3.65610721244459,0.7828896439252293,3.5107939726528814,-3.7089260318331596,0.8424477920825951,3.670181485218266
-3.1267515096127867,0.8563502280658895,3.4433591039204727,-3.7134782936850117,0.8471664209298738,3.668855971347752
-3.570063890540242,0.7773452801756728,3.508743127535974,-3.708165875412669,0.8471841456992717,3.6676993920166
-3.1124548007159265,0.7931248582201642,3.5370805640941207,-3.706488070808764,0.851005732045348,3.670765001035642
-3.656949590410036,0.7783466755839878,3.5090294420907693,-3.7023272754222463,0.8529196930633486,3.668960548135068
